Company,Type
HINDUNILVR.NS,LargeCap
BOSCHLTD.NS,LargeCap
INDIGO.NS,LargeCap
SBILIFE.NS,LargeCap
ICICIGI.NS,LargeCap
HYUNDAI.NS,LargeCap
SHREECEM.NS,LargeCap
DABUR.NS,LargeCap
VEDL.NS,LargeCap
GODREJCP.NS,LargeCap
RECLTD.NS,LargeCap
PFC.NS,LargeCap
ASIANPAINT.NS,LargeCap
NESTLEIND.NS,LargeCap
AXISBANK.NS,LargeCap
ULTRACEMCO.NS,LargeCap
KOTAKBANK.NS,LargeCap
NTPC.NS,LargeCap
DIVISLAB.NS,LargeCap
AMBUJACEM.NS,LargeCap
GRASIM.NS,LargeCap
TATACONSUM.NS,LargeCap
LODHA.NS,LargeCap
INDUSINDBK.NS,LargeCap
ETERNAL.NS,LargeCap
SUNPHARMA.NS,LargeCap
ZYDUSLIFE.NS,LargeCap
EICHERMOT.NS,LargeCap
SBIN.NS,LargeCap
ITC.NS,LargeCap
MOTHERSON.NS,LargeCap
ADANIPOWER.NS,LargeCap
LICI.NS,LargeCap
JSWSTEEL.NS,LargeCap
DRREDDY.NS,LargeCap
TATASTEEL.NS,LargeCap
CIPLA.NS,LargeCap
TORNTPHARM.NS,LargeCap
SHRIRAMFIN.NS,LargeCap
CANBK.NS,LargeCap
LT.NS,LargeCap
TATAPOWER.NS,LargeCap
HAVELLS.NS,LargeCap
CGPOWER.NS,LargeCap
ICICIBANK.NS,LargeCap
POWERGRID.NS,LargeCap
BAJAJHLDNG.NS,LargeCap
ADANIPORTS.NS,LargeCap
BAJAJHFL.NS,LargeCap
BRITANNIA.NS,LargeCap
MARUTI.NS,LargeCap
HDFCLIFE.NS,LargeCap
ONGC.NS,LargeCap
ADANIENT.NS,LargeCap
HDFCBANK.NS,LargeCap
ADANIGREEN.NS,LargeCap
COALINDIA.NS,LargeCap
HINDALCO.NS,LargeCap
INDHOTEL.NS,LargeCap
BANKBARODA.NS,LargeCap
TECHM.NS,LargeCap
TITAN.NS,LargeCap
PNB.NS,LargeCap
UNITDSPR.NS,LargeCap
CHOLAFIN.NS,LargeCap
IOC.NS,LargeCap
BEL.NS,LargeCap
SWIGGY.NS,LargeCap
DMART.NS,LargeCap
TATAMOTORS.NS,LargeCap
BAJFINANCE.NS,LargeCap
HEROMOTOCO.NS,LargeCap
IRFC.NS,LargeCap
JSWENERGY.NS,LargeCap
GAIL.NS,LargeCap
TVSMOTOR.NS,LargeCap
TRENT.NS,LargeCap
JINDALSTEL.NS,LargeCap
HAL.NS,LargeCap
ADANIENSOL.NS,LargeCap
